,cluster_id,num.muts
1,1,9194
2,10,132
3,11,8893
4,12,6686
5,13,14501
6,15,3836
7,16,10040
8,17,3003
9,18,10078
10,19,20758
11,22,13971
12,23,12752
13,24,3381
14,26,5048
15,29,434
16,3,10228
17,32,46
18,33,15112
19,37,4879
20,40,4717
21,41,1056
22,43,16826
23,46,5089
24,5,21057
25,50,8307
26,51,3344
27,63,783
28,65,6119
29,7,9338
30,8,32269
31,89,1581
32,9,6450
33,90,73
34,92,296
35,94,485
