"SBS5" "SBS18" "SBS11" "SBS32" "SBS36" "N2"
"MD7047_Left_lobe_Cl.51" 0.0692351922463044 0.00695285000830901 0.0572915670494655 0.222854675554831 0.00782460063788913 0.635841114503201
"MD7047_Left_lobe_Cl.52" 0.195201721426239 0.150768327298305 0.123796763282131 0.180237028894906 0.118165268755973 0.231830890342446
"MD7047_Left_lobe_Cl.54" 0.243119148927272 0.19459644412077 0.109666027263799 0.177467237119198 0.142634834105455 0.132516308463507
"MD7047_Left_lobe_Cl.55" 0.222043162464135 0.154678982743981 0.142695977085227 0.187375977685218 0.136449025185982 0.156756874835457
"MD7047_Left_lobe_Cl.57" 0.109990424475274 0.2323332592123 0.132250370117443 0.135357127048639 0.27480816138038 0.115260657765964
"MD7047_Left_lobe_Cl.6" 0.277156783024007 0.143727043935367 0.129339183565774 0.138104956917767 0.140508320114698 0.171163712442386
"MD7047_Left_lobe_Cl.62" 0.282328234904882 0.128800628169773 0.112664245060813 0.11751603194131 0.125053462504865 0.233637397418358
"MD7047_Left_lobe_Cl.63" 0.153453753813306 0.101548106233057 0.0121482831669549 0.132513815181805 0.038951173623096 0.561384867981781
"MD7047_Left_lobe_Cl.65" 0.0976391998832617 0.0073482699883681 0.0677560594469485 0.245340878029652 0.00481955646058884 0.577096036191181
"MD7047_Left_lobe_Cl.66" 0.224045798938604 0.150472889712699 0.128932391783306 0.130594584760928 0.139217700673096 0.226736634131367
"MD7047_Left_lobe_Cl.68" 0.146928124076294 0.200926073460729 0.178455716283584 0.170111182604855 0.168501539897652 0.135077363676885
"MD7047_Left_lobe_Cl.69" 0.154291306300754 0.139185186488216 0.152700753623995 0.207357990567683 0.120439160724371 0.226025602294981
"MD7047_Left_lobe_Cl.7" 0.11462187922599 0.00234603998859228 0.00783786193338269 0.0949878831234395 0.00200028407431516 0.778206051654281
"MD7047_Left_lobe_Cl.70" 0.189809222630408 0.131895045358104 0.127851027242235 0.127167480111609 0.134195397897102 0.289081826760543
"MD7047_Left_lobe_Cl.71" 0.156218648968174 0.149531774080169 0.233608383371537 0.164324039720136 0.147206785199396 0.149110368660587
"MD7047_Left_lobe_Cl.72" 0.156687830861988 0.149184333082529 0.231296851534257 0.166431997134004 0.146521519245359 0.149877468141863
"MD7047_Left_lobe_Cl.73" 0.242992232065825 0.160211549403849 0.145042807381065 0.145524490937963 0.157717308180945 0.148511612030354
"MD7047_Left_lobe_Cl.75" 0.225338024127831 0.139602028970346 0.120017685439644 0.141492470062816 0.146820160998452 0.226729630400911
"MD7047_Left_lobe_Cl.78" 0.203798995038659 0.175641415733004 0.14455804869545 0.147293358436202 0.152545123096956 0.176163058999728
"MD7047_Left_lobe_Cl.79" 0.164078914603136 0.215099982366281 0.142190163776298 0.143265292408874 0.184543409297874 0.150822237547538
"MD7047_Left_lobe_Cl.8" 0.101817824301821 0.00155847801719627 0.0588478484666419 0.14128335543931 0.0157731630123334 0.680719330762698
"MD7047_Left_lobe_Cl.81" 0.264452500605526 0.147223996706245 0.128070802701506 0.162169317688468 0.141354751473448 0.156728630824807
"MD7047_Left_lobe_Cl.82" 0.170310080109739 0.151074163040004 0.16578685100891 0.215224139292393 0.146877814765009 0.150726951783945
"MD7047_Left_lobe_Cl.84" 0.205291364016172 0.13818301099359 0.180483131553733 0.192236129532382 0.136914979034834 0.14689138486929
"MD7047_Left_lobe_Cl.85" 0.161069924408521 0.15734716863668 0.198109766694968 0.15894346189354 0.134713071790296 0.189816606575995
"MD7047_Left_lobe_Cl.86" 0.251835180391193 0.130790014473704 0.126911649805737 0.161433953219027 0.126042145919069 0.202987056191271
"MD7047_Left_lobe_Cl.87" 0.244711626057313 0.154324013703159 0.145424680015246 0.144297386329035 0.156217765440115 0.155024528455133
"MD7047_Left_lobe_Cl.88" 0.205589311957189 0.272687723105632 0.0505546456466598 0.0554817251504387 0.174449319348118 0.241237274791962
"MD7047_Left_lobe_Cl.89" 0.105286426364955 0.0158674263227868 0.0532138520821837 0.158121340011724 0.0126865480067681 0.654824407211583
