,cluster_id,num.muts
1,10,1706
2,11,22359
3,12,6008
4,13,8557
5,14,11186
6,16,696
7,17,843
8,18,11818
9,19,384
10,2,2358
11,22,1024
12,23,7215
13,8,5727
14,9,2207
