,cluster_id,num.muts
1,1,20523
2,10,13751
3,100,623
4,12,17942
5,13,23667
6,14,2928
7,16,18560
8,18,2610
9,20,263
10,21,2298
11,23,10566
12,25,1844
13,3,1288
14,30,4636
15,31,160
16,34,906
17,39,721
18,40,6643
19,41,91
20,42,14331
21,5,5167
22,56,685
23,62,40
24,76,424
25,8,9434
26,84,412
27,9,10599
28,99,65
