GeneID
Mki67
Birc5
Top2a
Stmn1
Krt5
Trp63
Igfbp7
Bcam
Abi3bp
Pdpn
Sfn
Aqp3
Dlk2
Dcn
Tgm2
Krt14
Sparc
Itga6
Mecom
Krt4
Krt13
Cldn4
Calml3
Scgb3a1
Bpifa1
Msln
Hp
Cyp2a5
Nupr1
Pigr
Ltf
Deup1
Cep78
Foxj1
Dnah3
Dnah5
Dnah12
Dynlrb2
Cdhr3
Ccdc30
Syne1 
Chga
Calca
Cxcl13
Ascl1
Cftr
Foxi1
Kcnma1
Pde1c
Fyb
Dclk1
Lrmp
