GeneID
Epcam
Krt5
Bcam
Wnt4
Trp63
Krt15
Epas1
Il1b
Alox5ap
Ctss
Mpeg1
Tyrobp
Cd68
Cd74
Mef2c
H2-Aa
Itk
Skap1
Lck
Cd3d
Cxcr6
Cd3g
Cd3e
Icos
Il2ra
