Reference	Disease	Cluster	Gene
Montoro et al	Epithelial	Ciliated	Riiad1
Montoro et al	Epithelial	Ciliated	1700088E04Rik
Montoro et al	Epithelial	Ciliated	1700007G11Rik
Montoro et al	Epithelial	Ciliated	Rsph4a
Montoro et al	Epithelial	Ciliated	Fam47e
Montoro et al	Epithelial	Ciliated	Agr3
Montoro et al	Epithelial	Ciliated	Fbxo36
Montoro et al	Epithelial	Ciliated	1700001C02Rik
Montoro et al	Epithelial	Ciliated	Cmbl
Montoro et al	Epithelial	Ciliated	Spag16
Montoro et al	Epithelial	Ciliated	Bok
Montoro et al	Epithelial	Ciliated	Ift43
Montoro et al	Epithelial	Ciliated	Ubxn10
Montoro et al	Epithelial	Ciliated	Tekt4
Montoro et al	Epithelial	Ciliated	Ccdc108
Montoro et al	Epithelial	Ciliated	Erich2
Montoro et al	Epithelial	Ciliated	6820408C15Rik
Montoro et al	Epithelial	Ciliated	Prdx5
Montoro et al	Epithelial	Ciliated	Fam92b
Montoro et al	Epithelial	Ciliated	Smim5
Montoro et al	Epithelial	Ciliated	Hdc
Montoro et al	Epithelial	Ciliated	Serpina9
Montoro et al	Epithelial	Ciliated	Ly6c1
Montoro et al	Epithelial	Ciliated	Aldh1a1
Montoro et al	Epithelial	Ciliated	Fhl1
Montoro et al	Epithelial	Ciliated	4833427G06Rik
Montoro et al	Epithelial	Ciliated	Rfk
Montoro et al	Epithelial	Ciliated	Dnaic2
Montoro et al	Epithelial	Ciliated	Ppp1r36
Montoro et al	Epithelial	Ciliated	Ak8
Montoro et al	Epithelial	Ciliated	B9d1
Montoro et al	Epithelial	Ciliated	Chchd10
Montoro et al	Epithelial	Ciliated	Zmynd10
Montoro et al	Epithelial	Ciliated	Rsph9
Montoro et al	Epithelial	Ciliated	Nek5
Montoro et al	Epithelial	Ciliated	Gm973
Montoro et al	Epithelial	Ciliated	Ccdc39
Montoro et al	Epithelial	Ciliated	Efhc1
Montoro et al	Epithelial	Ciliated	Hsph1
Montoro et al	Epithelial	Ciliated	Tuba1b
Montoro et al	Epithelial	Ciliated	Ubxn11
Montoro et al	Epithelial	Ciliated	Slc23a2
Montoro et al	Epithelial	Ciliated	Spa17
Montoro et al	Epithelial	Ciliated	Nat9
Montoro et al	Epithelial	Ciliated	Efcab10
Montoro et al	Epithelial	Ciliated	Cd177
Montoro et al	Epithelial	Ciliated	Hsp90aa1
Montoro et al	Epithelial	Ciliated	Iqca
Montoro et al	Epithelial	Ciliated	Dync2li1
Montoro et al	Epithelial	Ciliated	Ruvbl1
Montoro et al	Epithelial	Ciliated	Ppp1r32
Montoro et al	Epithelial	Ciliated	Spef1
Montoro et al	Epithelial	Ciliated	Ccdc81
Montoro et al	Epithelial	Ciliated	Dnajb13
Montoro et al	Epithelial	Ciliated	Acox2
Montoro et al	Epithelial	Ciliated	Fhad1
Montoro et al	Epithelial	Ciliated	Spag8
Montoro et al	Epithelial	Ciliated	Nudc
Montoro et al	Epithelial	Ciliated	Ccdc146
Montoro et al	Epithelial	Ciliated	Pih1d2
Montoro et al	Epithelial	Ciliated	Vwa3a
Montoro et al	Epithelial	Ciliated	Fam179a
Montoro et al	Epithelial	Ciliated	Fth1
Montoro et al	Epithelial	Ciliated	Ccdc151
Montoro et al	Epithelial	Ciliated	Lrrc36
Montoro et al	Epithelial	Ciliated	Cxcl17
Montoro et al	Epithelial	Ciliated	Kif9
Montoro et al	Epithelial	Ciliated	Ccdc37
Montoro et al	Epithelial	Ciliated	Mapk15
Montoro et al	Epithelial	Ciliated	Lhb
Montoro et al	Epithelial	Ciliated	Cd82
Montoro et al	Epithelial	Ciliated	Fam161a
Montoro et al	Epithelial	Ciliated	Rabl2
Montoro et al	Epithelial	Ciliated	Fank1
Montoro et al	Epithelial	Ciliated	Wdr63
Montoro et al	Epithelial	Ciliated	Glipr1
Montoro et al	Epithelial	Ciliated	Zfp474
Montoro et al	Epithelial	Ciliated	Lgals3bp
Montoro et al	Epithelial	Ciliated	Dpcd
Montoro et al	Epithelial	Ciliated	Ttc29
Montoro et al	Epithelial	Ciliated	Ttc16
Montoro et al	Epithelial	Ciliated	Mdh1b
Montoro et al	Epithelial	Ciliated	Ruvbl2
Montoro et al	Epithelial	Ciliated	Gipc2
Montoro et al	Epithelial	Ciliated	Arc
Montoro et al	Epithelial	Ciliated	Mak
Montoro et al	Epithelial	Ciliated	Dcdc2b
Montoro et al	Epithelial	Ciliated	Ccdc30
Montoro et al	Epithelial	Ciliated	1700028P14Rik
Montoro et al	Epithelial	Ciliated	Mycbp
Montoro et al	Epithelial	Ciliated	Oscp1
