Reference	Disease	Cluster	Gene
Travaglini et al	Epithelial	Ionocyte	ASCL3
Travaglini et al	Epithelial	Ionocyte	HEPACAM2
Travaglini et al	Epithelial	Ionocyte	IGF1
Travaglini et al	Epithelial	Ionocyte	TMPRSS11E
Travaglini et al	Epithelial	Ionocyte	CLCNKB
Travaglini et al	Epithelial	Ionocyte	FOXI1
Travaglini et al	Epithelial	Ionocyte	ATP6V0D2
Travaglini et al	Epithelial	Ionocyte	ATP6V1G3
Travaglini et al	Epithelial	Ionocyte	BSND
Travaglini et al	Epithelial	Ionocyte	PTGER3
Travaglini et al	Epithelial	Ionocyte	LINC01187
Travaglini et al	Epithelial	Ionocyte	STAP1
Travaglini et al	Epithelial	Ionocyte	DDX4
Travaglini et al	Epithelial	Ionocyte	SLC35F3
Travaglini et al	Epithelial	Ionocyte	NEURL1
Travaglini et al	Epithelial	Ionocyte	MAL
Travaglini et al	Epithelial	Ionocyte	CLCNKA
Travaglini et al	Epithelial	Ionocyte	CXCR4
Travaglini et al	Epithelial	Ionocyte	TRPM2
Travaglini et al	Epithelial	Ionocyte	CDA
Travaglini et al	Epithelial	Ionocyte	ITIH5
Travaglini et al	Epithelial	Ionocyte	TUBB2B
Travaglini et al	Epithelial	Ionocyte	FAM131C
Travaglini et al	Epithelial	Ionocyte	PCP4
Travaglini et al	Epithelial	Ionocyte	SCG2
Travaglini et al	Epithelial	Ionocyte	TRPM2-AS
Travaglini et al	Epithelial	Ionocyte	UPB1
Travaglini et al	Epithelial	Ionocyte	GABRB2
Travaglini et al	Epithelial	Ionocyte	C1orf64
Travaglini et al	Epithelial	Ionocyte	PROX1
Travaglini et al	Epithelial	Ionocyte	KIT
Travaglini et al	Epithelial	Ionocyte	LPPR1
Travaglini et al	Epithelial	Ionocyte	RET
Travaglini et al	Epithelial	Ionocyte	LOC100507537
Travaglini et al	Epithelial	Ionocyte	THEMIS2
Travaglini et al	Epithelial	Ionocyte	COL3A1
Travaglini et al	Epithelial	Ionocyte	GPR183
Travaglini et al	Epithelial	Ionocyte	DDX12P
Travaglini et al	Epithelial	Ionocyte	SMIM24
Travaglini et al	Epithelial	Ionocyte	RCAN2
Travaglini et al	Epithelial	Ionocyte	CLNK
Travaglini et al	Epithelial	Ionocyte	SUSD3
Travaglini et al	Epithelial	Ionocyte	ASCL4
Travaglini et al	Epithelial	Ionocyte	NRCAM
Travaglini et al	Epithelial	Ionocyte	PLCG2
Travaglini et al	Epithelial	Ionocyte	FAM43A
Travaglini et al	Epithelial	Ionocyte	BPIFA2
Travaglini et al	Epithelial	Ionocyte	CHRNA1
Travaglini et al	Epithelial	Ionocyte	FAM153B
Travaglini et al	Epithelial	Goblet	C15orf48
Travaglini et al	Epithelial	Goblet	MUC5AC
Travaglini et al	Epithelial	Goblet	CYP2F1
Travaglini et al	Epithelial	Goblet	FUT6
Travaglini et al	Epithelial	Goblet	CDC42EP5
Travaglini et al	Epithelial	Goblet	S100P
Travaglini et al	Epithelial	Goblet	SPDEF
Travaglini et al	Epithelial	Goblet	LYPD2
Travaglini et al	Epithelial	Goblet	MSMB
Travaglini et al	Epithelial	Goblet	VMO1
Travaglini et al	Epithelial	Goblet	LCN2
Travaglini et al	Epithelial	Goblet	FAM3D
Travaglini et al	Epithelial	Goblet	FAM83D
Travaglini et al	Epithelial	Goblet	CEACAM5
Travaglini et al	Epithelial	Goblet	SERPINB11
Travaglini et al	Epithelial	Goblet	MUC5B
Travaglini et al	Epithelial	Goblet	WFDC2
Travaglini et al	Epithelial	Goblet	SLC5A8
Travaglini et al	Epithelial	Goblet	UPK1B
Travaglini et al	Epithelial	Goblet	CEACAM6
Travaglini et al	Epithelial	Goblet	ASPG
Travaglini et al	Epithelial	Goblet	BPIFB1
Travaglini et al	Epithelial	Goblet	CLDN10
Travaglini et al	Epithelial	Goblet	FUT2
Travaglini et al	Epithelial	Goblet	GLYATL2
Travaglini et al	Epithelial	Goblet	AGR2
Travaglini et al	Epithelial	Goblet	UBD
Travaglini et al	Epithelial	Goblet	GABRP
Travaglini et al	Epithelial	Goblet	CYBA
Travaglini et al	Epithelial	Goblet	TSPAN8
Travaglini et al	Epithelial	Goblet	ZG16B
Travaglini et al	Epithelial	Goblet	CXCL6
Travaglini et al	Epithelial	Goblet	ST6GAL1
Travaglini et al	Epithelial	Goblet	ALPL
Travaglini et al	Epithelial	Goblet	ATP12A
Travaglini et al	Epithelial	Goblet	PAQR4
Travaglini et al	Epithelial	Goblet	MESP1
Travaglini et al	Epithelial	Goblet	FOXA3
Travaglini et al	Epithelial	Goblet	EPS8L1
Travaglini et al	Epithelial	Goblet	MDK
Travaglini et al	Epithelial	Goblet	AQP5
Travaglini et al	Epithelial	Goblet	CRABP2
Travaglini et al	Epithelial	Goblet	ASS1
Travaglini et al	Epithelial	Goblet	DNAJC12
Travaglini et al	Epithelial	Goblet	XBP1
Travaglini et al	Epithelial	Goblet	CFB
Travaglini et al	Epithelial	Goblet	FUT3
Travaglini et al	Epithelial	Goblet	BACE2
Travaglini et al	Epithelial	Goblet	ANKRD36C
Travaglini et al	Epithelial	Goblet	KRT7
Travaglini et al	Epithelial	Differentiating Basal	SERPINB3
Travaglini et al	Epithelial	Differentiating Basal	KRT19
Travaglini et al	Epithelial	Differentiating Basal	RPLP0
Travaglini et al	Epithelial	Differentiating Basal	CLCA2
Travaglini et al	Epithelial	Differentiating Basal	TSPAN8
Travaglini et al	Epithelial	Differentiating Basal	AQP3
Travaglini et al	Epithelial	Differentiating Basal	PRSS23
Travaglini et al	Epithelial	Differentiating Basal	KLK11
Travaglini et al	Epithelial	Differentiating Basal	ADH1C
Travaglini et al	Epithelial	Differentiating Basal	TACSTD2
Travaglini et al	Epithelial	Differentiating Basal	FAM3D
Travaglini et al	Epithelial	Differentiating Basal	RPL28
Travaglini et al	Epithelial	Differentiating Basal	DDIT4
Travaglini et al	Epithelial	Differentiating Basal	RHOC
Travaglini et al	Epithelial	Differentiating Basal	AQP5
Travaglini et al	Epithelial	Differentiating Basal	TNFSF10
Travaglini et al	Epithelial	Differentiating Basal	SULT2B1
Travaglini et al	Epithelial	Differentiating Basal	LY6E
Travaglini et al	Epithelial	Differentiating Basal	SLC25A6
Travaglini et al	Epithelial	Differentiating Basal	CTSC
Travaglini et al	Epithelial	Differentiating Basal	MDK
Travaglini et al	Epithelial	Differentiating Basal	EEF2
Travaglini et al	Epithelial	Differentiating Basal	RPS2
Travaglini et al	Epithelial	Differentiating Basal	CSTA
Travaglini et al	Epithelial	Differentiating Basal	SERPINB4
Travaglini et al	Epithelial	Differentiating Basal	RPSA
Travaglini et al	Epithelial	Differentiating Basal	KRT8
Travaglini et al	Epithelial	Differentiating Basal	GNB2L1
Travaglini et al	Epithelial	Differentiating Basal	CHP2
Travaglini et al	Epithelial	Differentiating Basal	SERPINB7
Travaglini et al	Epithelial	Differentiating Basal	RPL18
Travaglini et al	Epithelial	Differentiating Basal	RPL13A
Travaglini et al	Epithelial	Differentiating Basal	RPL15
Travaglini et al	Epithelial	Differentiating Basal	CLDN10
Travaglini et al	Epithelial	Differentiating Basal	GAPDH
Travaglini et al	Epithelial	Differentiating Basal	OAT
Travaglini et al	Epithelial	Differentiating Basal	ALDH2
Travaglini et al	Epithelial	Differentiating Basal	AKR1A1
Travaglini et al	Epithelial	Differentiating Basal	SERPINB13
Travaglini et al	Epithelial	Differentiating Basal	FMO2
Travaglini et al	Epithelial	Differentiating Basal	FOXN3
Travaglini et al	Epithelial	Differentiating Basal	RPL18A
Travaglini et al	Epithelial	Differentiating Basal	LIME1
Travaglini et al	Epithelial	Differentiating Basal	RPL10A
Travaglini et al	Epithelial	Differentiating Basal	FAM3B
Travaglini et al	Epithelial	Differentiating Basal	WFDC2
Travaglini et al	Epithelial	Differentiating Basal	KRT18
Travaglini et al	Epithelial	Differentiating Basal	RPS18
Travaglini et al	Epithelial	Differentiating Basal	EEF1G
Travaglini et al	Epithelial	Differentiating Basal	POLD4
Travaglini et al	Epithelial	Neuroendocrine	DUSP26
Travaglini et al	Epithelial	Neuroendocrine	SLC35D3
Travaglini et al	Epithelial	Neuroendocrine	INA
Travaglini et al	Epithelial	Neuroendocrine	GRIA2
Travaglini et al	Epithelial	Neuroendocrine	CHGA
Travaglini et al	Epithelial	Neuroendocrine	DDC
Travaglini et al	Epithelial	Neuroendocrine	SCGN
Travaglini et al	Epithelial	Neuroendocrine	SNAP25
Travaglini et al	Epithelial	Neuroendocrine	CPLX2
Travaglini et al	Epithelial	Neuroendocrine	RUNDC3A
Travaglini et al	Epithelial	Neuroendocrine	ACTL6B
Travaglini et al	Epithelial	Neuroendocrine	SYT13
Travaglini et al	Epithelial	Neuroendocrine	CHGB
Travaglini et al	Epithelial	Neuroendocrine	RTBDN
Travaglini et al	Epithelial	Neuroendocrine	KIF1A
Travaglini et al	Epithelial	Neuroendocrine	PTPRN
Travaglini et al	Epithelial	Neuroendocrine	CRYBA2
Travaglini et al	Epithelial	Neuroendocrine	NEFM
Travaglini et al	Epithelial	Neuroendocrine	NEFL
Travaglini et al	Epithelial	Neuroendocrine	SYT4
Travaglini et al	Epithelial	Neuroendocrine	UCHL1
Travaglini et al	Epithelial	Neuroendocrine	CALY
Travaglini et al	Epithelial	Neuroendocrine	ASCL1
Travaglini et al	Epithelial	Neuroendocrine	SSTR5-AS1
Travaglini et al	Epithelial	Neuroendocrine	CDK5R2
Travaglini et al	Epithelial	Neuroendocrine	LECT1
Travaglini et al	Epithelial	Neuroendocrine	CTNNA2
Travaglini et al	Epithelial	Neuroendocrine	RALYL
Travaglini et al	Epithelial	Neuroendocrine	LINC01574
Travaglini et al	Epithelial	Neuroendocrine	CHRNB2
Travaglini et al	Epithelial	Neuroendocrine	PRAP1
Travaglini et al	Epithelial	Neuroendocrine	TM4SF5
Travaglini et al	Epithelial	Neuroendocrine	MIR7-3HG
Travaglini et al	Epithelial	Neuroendocrine	GDAP1L1
Travaglini et al	Epithelial	Neuroendocrine	PCSK1
Travaglini et al	Epithelial	Neuroendocrine	PCBP3
Travaglini et al	Epithelial	Neuroendocrine	GNG4
Travaglini et al	Epithelial	Neuroendocrine	APLP1
Travaglini et al	Epithelial	Neuroendocrine	SYT1
Travaglini et al	Epithelial	Neuroendocrine	SCG5
Travaglini et al	Epithelial	Neuroendocrine	MIAT
Travaglini et al	Epithelial	Neuroendocrine	FXYD2
Travaglini et al	Epithelial	Neuroendocrine	STXBP5L
Travaglini et al	Epithelial	Neuroendocrine	SCG2
Travaglini et al	Epithelial	Neuroendocrine	NNAT
Travaglini et al	Epithelial	Neuroendocrine	VTN
Travaglini et al	Epithelial	Neuroendocrine	NOL4
Travaglini et al	Epithelial	Neuroendocrine	PHYHIPL
Travaglini et al	Epithelial	Neuroendocrine	EGR4
Travaglini et al	Epithelial	Neuroendocrine	UNC80
Travaglini et al	Epithelial	Serous	S100B
Travaglini et al	Epithelial	Serous	LPO
Travaglini et al	Epithelial	Serous	LOC644838
Travaglini et al	Epithelial	Serous	S100A1
Travaglini et al	Epithelial	Serous	PRB1
Travaglini et al	Epithelial	Serous	SERPINA3
Travaglini et al	Epithelial	Serous	NPY1R
Travaglini et al	Epithelial	Serous	TTYH1
Travaglini et al	Epithelial	Serous	CRISP3
Travaglini et al	Epithelial	Serous	PRB2
Travaglini et al	Epithelial	Serous	PKDCC
Travaglini et al	Epithelial	Serous	GGTA1P
Travaglini et al	Epithelial	Serous	ODAM
Travaglini et al	Epithelial	Serous	SMR3A
Travaglini et al	Epithelial	Serous	MUC7
Travaglini et al	Epithelial	Serous	SLC13A2
Travaglini et al	Epithelial	Serous	TCN1
Travaglini et al	Epithelial	Serous	DMBT1
Travaglini et al	Epithelial	Serous	PPP1R1B
Travaglini et al	Epithelial	Serous	SLCO1A2
Travaglini et al	Epithelial	Serous	ROPN1
Travaglini et al	Epithelial	Serous	KCNN4
Travaglini et al	Epithelial	Serous	MIA
Travaglini et al	Epithelial	Serous	PRB4
Travaglini et al	Epithelial	Serous	SLCO4A1-AS1
Travaglini et al	Epithelial	Serous	HSD17B2
Travaglini et al	Epithelial	Serous	PRB3
Travaglini et al	Epithelial	Serous	AZGP1
Travaglini et al	Epithelial	Serous	CCDC129
Travaglini et al	Epithelial	Serous	TESC
Travaglini et al	Epithelial	Serous	PRR4
Travaglini et al	Epithelial	Serous	RTN1
Travaglini et al	Epithelial	Serous	C6orf58
Travaglini et al	Epithelial	Serous	PADI2
Travaglini et al	Epithelial	Serous	NRG3
Travaglini et al	Epithelial	Serous	CSN3
Travaglini et al	Epithelial	Serous	CA2
Travaglini et al	Epithelial	Serous	PLTP
Travaglini et al	Epithelial	Serous	PHLDA1
Travaglini et al	Epithelial	Serous	LTF
Travaglini et al	Epithelial	Serous	PRH1
Travaglini et al	Epithelial	Serous	RASAL1
Travaglini et al	Epithelial	Serous	LRRC26
Travaglini et al	Epithelial	Serous	LOC101927069
Travaglini et al	Epithelial	Serous	SOX10
Travaglini et al	Epithelial	Serous	PIP
Travaglini et al	Epithelial	Serous	NRAP
Travaglini et al	Epithelial	Serous	PTH2R
Travaglini et al	Epithelial	Serous	SMR3B
Travaglini et al	Epithelial	Serous	MSC
Sikkema et al	Epithelial	Hillock cells	KRT6A
Sikkema et al	Epithelial	Hillock cells	KRT14
Sikkema et al	Epithelial	Hillock cells	KRT5
Sikkema et al	Epithelial	Hillock cells	S100A2
Sikkema et al	Epithelial	Hillock cells	DSG3
Sikkema et al	Epithelial	Hillock cells	SERPINB4
Sikkema et al	Epithelial	Hillock cells	LY6D
Sikkema et al	Epithelial	Hillock cells	PA2G4P4
Sikkema et al	Epithelial	Hillock cells	ANXA2P3
Sikkema et al	Epithelial	Hillock cells	S100A8
Sikkema et al	Epithelial	Hillock cells	GJB2
Sikkema et al	Epithelial	Hillock cells	CXCL14
Sikkema et al	Epithelial	Hillock cells	MIR1244-1
Sikkema et al	Epithelial	Hillock cells	ANXA2P2
Sikkema et al	Epithelial	Hillock cells	AKR1C2
Sikkema et al	Epithelial	Hillock cells	KRT17
Sikkema et al	Epithelial	Hillock cells	RP5-1056L3.3
Sikkema et al	Epithelial	Hillock cells	FGFBP1
Sikkema et al	Epithelial	Hillock cells	PDIA3P1
Sikkema et al	Epithelial	Hillock cells	DSP
Sikkema et al	Epithelial	Hillock cells	DSC3
Sikkema et al	Epithelial	Hillock cells	SERPINB13
Sikkema et al	Epithelial	Hillock cells	S100A16
Sikkema et al	Epithelial	Hillock cells	S100A9
Sikkema et al	Epithelial	Hillock cells	KRT6B
Sikkema et al	Epithelial	Hillock cells	HSP90B2P
Sikkema et al	Epithelial	Hillock cells	SENP3-EIF4A1
Sikkema et al	Epithelial	Hillock cells	RPL21P28
Sikkema et al	Epithelial	Hillock cells	PTTG3P
Sikkema et al	Epithelial	Hillock cells	ANXA8
Sikkema et al	Epithelial	Hillock cells	PCLAF
Sikkema et al	Epithelial	Hillock cells	H3P6
Sikkema et al	Epithelial	Hillock cells	UQCRBP1
Sikkema et al	Epithelial	Hillock cells	LGALS7
Sikkema et al	Epithelial	Hillock cells	SERPINB3
Sikkema et al	Epithelial	Hillock cells	SPRR1B
Sikkema et al	Epithelial	Hillock cells	CENPW
Sikkema et al	Epithelial	Hillock cells	KRT13
Sikkema et al	Epithelial	Hillock cells	KRT6C
Sikkema et al	Epithelial	Hillock cells	VSNL1
Sikkema et al	Epithelial	Hillock cells	RPS26P11
Sikkema et al	Epithelial	Hillock cells	SERPINB5
Sikkema et al	Epithelial	Hillock cells	HNRNPA1P10
Sikkema et al	Epithelial	Hillock cells	MKI67
Sikkema et al	Epithelial	Hillock cells	PABPC3
Sikkema et al	Epithelial	Hillock cells	HMGA1
Sikkema et al	Epithelial	Hillock cells	RPL13AP5
Sikkema et al	Epithelial	Hillock cells	FAM111B
Sikkema et al	Epithelial	Hillock cells	GPX2
Sikkema et al	Epithelial	Hillock cells	LGALS7B
